2026-03-06 23:57:03,047 | DEBUG | attack | Step 4: Fetching transaction ID
2026-03-06 23:57:03,852 | DEBUG | attack | Address confirmed as internal
2026-03-06 23:57:03,896 | DEBUG | attack | Generated billId: 202603062157202030040057267126272
2026-03-06 23:57:03,896 | DEBUG | attack | Step 3: Making transaction
2026-03-06 23:57:04,008 | DEBUG | attack | Transaction ID: 202603062157182030040049161236480
2026-03-06 23:57:04,009 | DEBUG | attack | Step 5: Creating transaction share link
2026-03-06 23:57:04,124 | DEBUG | attack | Share link created: https://s.cwallet.com/18oadl2
2026-03-06 23:57:04,124 | DEBUG | attack | Step 6: Canceling transaction
2026-03-06 23:57:04,239 | DEBUG | attack | Address confirmed as internal
2026-03-06 23:57:04,250 | DEBUG | attack | Transaction ID: 202603062157182030040049261899776
2026-03-06 23:57:04,253 | DEBUG | attack | Step 5: Creating transaction share link
2026-03-06 23:57:04,440 | DEBUG | attack | Transaction canceled successfully
2026-03-06 23:57:04,441 | DEBUG | attack | Step 7: Getting user ID from share link
2026-03-06 23:57:04,625 | DEBUG | attack | Transaction result: {'bill_id': '202603062157182030040048639442944', 'type': 3}
2026-03-06 23:57:04,626 | DEBUG | attack | Step 4: Fetching transaction ID
2026-03-06 23:57:04,763 | DEBUG | attack | Step 2: Generating new bill ID
2026-03-06 23:57:05,590 | DEBUG | attack | Share link created: https://s.cwallet.com/15d7p4r
2026-03-06 23:57:05,592 | DEBUG | attack | Step 6: Canceling transaction
2026-03-06 23:57:05,704 | DEBUG | attack | Share link created: https://s.cwallet.com/1aadsam
2026-03-06 23:57:05,705 | DEBUG | attack | Step 6: Canceling transaction
2026-03-06 23:57:05,807 | DEBUG | attack | Generated billId: 202603062157222030040064519077888
2026-03-06 23:57:05,808 | DEBUG | attack | Step 3: Making transaction
2026-03-06 23:57:05,924 | DEBUG | attack | Extracted userId: 58454200
2026-03-06 23:57:05,931 | DEBUG | attack | Transaction ID: 202603062157202030040057432403968
2026-03-06 23:57:05,933 | DEBUG | attack | Step 5: Creating transaction share link
2026-03-06 23:57:06,070 | DEBUG | attack | Starting executeFullTransaction
2026-03-06 23:57:06,071 | DEBUG | attack | Target address: 0xa8c7d4ba43bdc13198925eb8b4b05b478da9693a | Amount: 0.00000001 | Coin: ETH
2026-03-06 23:57:06,071 | DEBUG | attack | Step 1: Checking internal address
2026-03-06 23:57:06,181 | DEBUG | attack | Transaction canceled successfully
2026-03-06 23:57:06,183 | DEBUG | attack | Step 7: Getting user ID from share link
2026-03-06 23:57:06,289 | DEBUG | attack | Transaction result: {'bill_id': '202603062157202030040057267126272', 'type': 3}
2026-03-06 23:57:06,290 | DEBUG | attack | Step 4: Fetching transaction ID
2026-03-06 23:57:06,393 | DEBUG | attack | Step 2: Generating new bill ID
2026-03-06 23:57:06,479 | DEBUG | attack | Step 2: Generating new bill ID
2026-03-06 23:57:07,243 | DEBUG | attack | Address confirmed as internal
2026-03-06 23:57:07,270 | DEBUG | attack | Transaction ID: 202603062157222030040064311058432
2026-03-06 23:57:07,270 | DEBUG | attack | Step 5: Creating transaction share link
2026-03-06 23:57:07,373 | DEBUG | attack | Generated billId: 202603062157242030040071506788352
2026-03-06 23:57:07,374 | DEBUG | attack | Step 3: Making transaction
2026-03-06 23:57:07,466 | DEBUG | attack | Generated billId: 202603062157242030040071527759872
2026-03-06 23:57:07,467 | DEBUG | attack | Step 3: Making transaction
2026-03-06 23:57:07,587 | DEBUG | attack | Extracted userId: 26516222
2026-03-06 23:57:07,591 | DEBUG | attack | Share link created: https://s.cwallet.com/youf79
2026-03-06 23:57:07,593 | DEBUG | attack | Step 6: Canceling transaction
2026-03-06 23:57:07,766 | DEBUG | attack | Starting executeFullTransaction
2026-03-06 23:57:07,767 | DEBUG | attack | Target address: 0x131d0edfcc6f4bd4e17a1b83495535a2d6a0af6b | Amount: 0.00000001 | Coin: ETH
2026-03-06 23:57:07,767 | DEBUG | attack | Step 1: Checking internal address
2026-03-06 23:57:07,899 | DEBUG | attack | Transaction canceled successfully
2026-03-06 23:57:07,901 | DEBUG | attack | Step 7: Getting user ID from share link
2026-03-06 23:57:08,006 | DEBUG | attack | Transaction canceled successfully
2026-03-06 23:57:08,008 | DEBUG | attack | Step 7: Getting user ID from share link
2026-03-06 23:57:08,112 | DEBUG | attack | Transaction result: {'bill_id': '202603062157222030040064519077888', 'type': 3}
2026-03-06 23:57:08,114 | DEBUG | attack | Step 4: Fetching transaction ID
2026-03-06 23:57:08,863 | DEBUG | attack | Address confirmed as internal
2026-03-06 23:57:08,891 | DEBUG | attack | Share link created: https://s.cwallet.com/18b5hen
2026-03-06 23:57:08,891 | DEBUG | attack | Step 6: Canceling transaction
2026-03-06 23:57:08,992 | DEBUG | attack | Transaction ID: 202603062157242030040071458152448
2026-03-06 23:57:08,993 | DEBUG | attack | Step 5: Creating transaction share link
2026-03-06 23:57:09,085 | DEBUG | attack | Extracted userId: 45921463
2026-03-06 23:57:09,089 | DEBUG | attack | Extracted userId: 27088627
2026-03-06 23:57:09,098 | DEBUG | attack | Transaction canceled successfully
2026-03-06 23:57:09,100 | DEBUG | attack | Step 7: Getting user ID from share link
2026-03-06 23:57:09,251 | DEBUG | attack | Starting executeFullTransaction
2026-03-06 23:57:09,252 | DEBUG | attack | Target address: 0xe09329c3e0d58328acecf9b78af6bab4fe049106 | Amount: 0.00000001 | Coin: ETH
2026-03-06 23:57:09,252 | DEBUG | attack | Step 1: Checking internal address
2026-03-06 23:57:09,399 | DEBUG | attack | Starting executeFullTransaction
2026-03-06 23:57:09,399 | DEBUG | attack | Target address: 0x89763d52942686dcd8a0b1542ce2932bf3154838 | Amount: 0.00000001 | Coin: ETH
2026-03-06 23:57:09,399 | DEBUG | attack | Step 1: Checking internal address
2026-03-06 23:57:09,521 | DEBUG | attack | Transaction result: {'bill_id': '202603062157242030040071506788352', 'type': 3}
2026-03-06 23:57:09,522 | DEBUG | attack | Step 4: Fetching transaction ID
2026-03-06 23:57:09,643 | DEBUG | attack | Transaction result: {'bill_id': '202603062157242030040071527759872', 'type': 3}
2026-03-06 23:57:09,643 | DEBUG | attack | Step 4: Fetching transaction ID
2026-03-06 23:57:09,762 | DEBUG | attack | Step 2: Generating new bill ID
2026-03-06 23:57:10,444 | DEBUG | attack | Transaction ID: 202603062157252030040078429089792
2026-03-06 23:57:10,444 | DEBUG | attack | Step 5: Creating transaction share link
2026-03-06 23:57:10,565 | DEBUG | attack | Address confirmed as internal
2026-03-06 23:57:10,567 | DEBUG | attack | Address confirmed as internal
2026-03-06 23:57:10,571 | DEBUG | attack | Share link created: https://s.cwallet.com/12ox2po
2026-03-06 23:57:10,573 | DEBUG | attack | Step 6: Canceling transaction
2026-03-06 23:57:10,662 | DEBUG | attack | Transaction ID: 202603062157252030040078445867008
2026-03-06 23:57:10,664 | DEBUG | attack | Step 5: Creating transaction share link
2026-03-06 23:57:10,763 | DEBUG | attack | Transaction canceled successfully
2026-03-06 23:57:10,765 | DEBUG | attack | Step 7: Getting user ID from share link
2026-03-06 23:57:10,855 | DEBUG | attack | Extracted userId: 32782108
2026-03-06 23:57:10,858 | DEBUG | attack | Generated billId: 202603062157272030040085176025088
2026-03-06 23:57:10,860 | DEBUG | attack | Step 3: Making transaction
2026-03-06 23:57:10,959 | DEBUG | attack | Starting executeFullTransaction
2026-03-06 23:57:10,960 | DEBUG | attack | Target address: 0x538d092b3e921a57d7338353826fede09b820003 | Amount: 0.00000001 | Coin: ETH
2026-03-06 23:57:10,960 | DEBUG | attack | Step 1: Checking internal address
2026-03-06 23:57:11,288 | DEBUG | attack | Step 2: Generating new bill ID
2026-03-06 23:57:11,748 | DEBUG | attack | Address confirmed as internal
2026-03-06 23:57:11,827 | DEBUG | attack | Extracted userId: 57441810
2026-03-06 23:57:11,829 | DEBUG | attack | Starting executeFullTransaction
2026-03-06 23:57:11,830 | DEBUG | attack | Target address: 0xd737153359aeee1dc0b7237b70f2eb18ef96b6ce | Amount: 0.00000001 | Coin: ETH
